Local time,Open,High,Low,Close,Volume
09.09.2024 20:00:00.000 GMT+0200,175.647,175.857,175.497,175.696,166.2551
09.09.2024 21:00:00.000 GMT+0200,175.697,176.117,175.356,176.056,225.6936
09.09.2024 22:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
09.09.2024 23:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 00:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 01:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 02:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 03:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 04:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 05:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 06:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 07:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 08:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 09:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 10:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 11:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 12:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 13:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 14:00:00.000 GMT+0200,176.056,176.056,176.056,176.056,0
10.09.2024 15:00:00.000 GMT+0200,175.456,177.887,175.456,177.677,141.9378
10.09.2024 16:00:00.000 GMT+0200,177.686,177.686,176.957,177.416,200.1576
10.09.2024 17:00:00.000 GMT+0200,177.387,177.637,177.026,177.236,172.4297
10.09.2024 18:00:00.000 GMT+0200,177.237,177.287,176.806,177.036,152.2524
10.09.2024 19:00:00.000 GMT+0200,177.007,177.207,176.716,176.887,149.4351
10.09.2024 20:00:00.000 GMT+0200,176.886,177.037,176.546,177.017,137.5252
10.09.2024 21:00:00.000 GMT+0200,177.016,177.927,176.866,177.786,203.572
10.09.2024 22:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
10.09.2024 23:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 00:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 01:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 02:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 03:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 04:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 05:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 06:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 07:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 08:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 09:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 10:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 11:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 12:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 13:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 14:00:00.000 GMT+0200,177.786,177.786,177.786,177.786,0
11.09.2024 15:00:00.000 GMT+0200,176.266,176.907,174.586,174.586,176.163
11.09.2024 16:00:00.000 GMT+0200,174.586,175.037,173.556,174.287,271.735
11.09.2024 17:00:00.000 GMT+0200,174.286,174.666,173.936,174.426,243.1486
11.09.2024 18:00:00.000 GMT+0200,174.427,174.927,174.366,174.836,211.5524
11.09.2024 19:00:00.000 GMT+0200,174.837,174.977,174.197,174.286,184.4198
