Local time,Open,High,Low,Close,Volume
02.06.2022 23:00:00.000 GMT+0200,4178.542,4189.899,4097.945,4113.848,206.98250000000002
03.06.2022 23:00:00.000 GMT+0200,4113.848,4113.848,4113.848,4113.848,0
04.06.2022 23:00:00.000 GMT+0200,4113.848,4113.848,4113.848,4113.848,0
05.06.2022 23:00:00.000 GMT+0200,4116.045,4169.154,4105.539,4117.833,175.6414
06.06.2022 23:00:00.000 GMT+0200,4121.945,4164.954,4076.845,4155.848,162.8196
07.06.2022 23:00:00.000 GMT+0200,4151.454,4160.345,4106.339,4117.933,274.3631
08.06.2022 23:00:00.000 GMT+0200,4116.743,4144.099,4016.151,4021.048,333.57710000000003
09.06.2022 23:00:00.000 GMT+0200,4026.334,4030.454,3897.033,3909.599,413.0415
10.06.2022 23:00:00.000 GMT+0200,3909.599,3909.599,3909.599,3909.599,0
11.06.2022 23:00:00.000 GMT+0200,3909.599,3909.599,3909.599,3909.599,0
12.06.2022 23:00:00.000 GMT+0200,3869.051,3878.048,3734.933,3755.045,533.7297000000001
13.06.2022 23:00:00.000 GMT+0200,3758.231,3805.752,3707.033,3733.451,276.42349999999993
14.06.2022 23:00:00.000 GMT+0200,3741.154,3839.097,3720.346,3786.742,262.96970000000005
15.06.2022 23:00:00.000 GMT+0200,3798.142,3829.154,3638.534,3675.239,413.42409999999995
16.06.2022 23:00:00.000 GMT+0200,3677.754,3709.499,3635.554,3675.799,341.4218
17.06.2022 23:00:00.000 GMT+0200,3675.799,3675.799,3675.799,3675.799,0
18.06.2022 23:00:00.000 GMT+0200,3675.799,3675.799,3675.799,3675.799,0
19.06.2022 23:00:00.000 GMT+0200,3683.448,3721.054,3658.436,3711.348,137.1169
20.06.2022 23:00:00.000 GMT+0200,3712.246,3780.054,3706.936,3763.439,151.73600000000002
21.06.2022 23:00:00.000 GMT+0200,3763.797,3801.951,3689.733,3762.842,208.8225
22.06.2022 23:00:00.000 GMT+0200,3757.439,3802.597,3731.933,3785.448,240.40919999999997
23.06.2022 23:00:00.000 GMT+0200,3782.148,3916.099,3778.733,3905.139,207.87879999999998
24.06.2022 23:00:00.000 GMT+0200,3905.139,3905.139,3905.139,3905.139,0
25.06.2022 23:00:00.000 GMT+0200,3905.139,3905.139,3905.139,3905.139,0
26.06.2022 23:00:00.000 GMT+0200,3917.542,3944.399,3888.745,3903.999,276.2574
27.06.2022 23:00:00.000 GMT+0200,3903.954,3946.097,3817.839,3821.051,285.55969999999996
28.06.2022 23:00:00.000 GMT+0200,3823.633,3835.599,3797.033,3814.233,388.64549999999997
29.06.2022 23:00:00.000 GMT+0200,3819.445,3819.948,3737.342,3776.639,364.3125
30.06.2022 23:00:00.000 GMT+0200,3777.833,3830.599,3741.845,3822.439,272.6602
01.07.2022 23:00:00.000 GMT+0200,3822.439,3822.439,3822.439,3822.439,0
02.07.2022 23:00:00.000 GMT+0200,3822.439,3822.439,3822.439,3822.439,0
03.07.2022 23:00:00.000 GMT+0200,3823.836,3823.951,3790.131,3810.039,137.1446
04.07.2022 23:00:00.000 GMT+0200,3812.133,3854.699,3741.940,3827.148,352.6499
05.07.2022 23:00:00.000 GMT+0200,3833.239,3871.699,3805.533,3848.754,408.44089999999994
06.07.2022 23:00:00.000 GMT+0200,3850.036,3910.636,3829.145,3896.833,211.28959999999998
07.07.2022 23:00:00.000 GMT+0200,3895.548,3918.499,3864.551,3902.048,259.6867
08.07.2022 23:00:00.000 GMT+0200,3902.048,3902.048,3902.048,3902.048,0
09.07.2022 23:00:00.000 GMT+0200,3902.048,3902.048,3902.048,3902.048,0
10.07.2022 23:00:00.000 GMT+0200,3893.933,3896.251,3847.336,3859.739,228.51320000000004
11.07.2022 23:00:00.000 GMT+0200,3858.742,3873.633,3801.337,3818.239,249.68449999999999
12.07.2022 23:00:00.000 GMT+0200,3821.840,3868.048,3748.448,3794.899,329.9695
13.07.2022 23:00:00.000 GMT+0200,3790.742,3801.740,3719.833,3794.645,313.9058
14.07.2022 23:00:00.000 GMT+0200,3795.936,3863.351,3777.451,3860.451,259.9076
15.07.2022 23:00:00.000 GMT+0200,3860.451,3860.451,3860.451,3860.451,0
16.07.2022 23:00:00.000 GMT+0200,3860.451,3860.451,3860.451,3860.451,0
17.07.2022 23:00:00.000 GMT+0200,3873.354,3905.754,3817.533,3834.454,196.6875
18.07.2022 23:00:00.000 GMT+0200,3834.454,3939.497,3831.336,3938.899,183.0854
19.07.2022 23:00:00.000 GMT+0200,3943.542,3973.754,3918.645,3956.033,226.81660000000002
20.07.2022 23:00:00.000 GMT+0200,3952.231,4001.249,3927.136,3986.733,269.46650000000005
21.07.2022 23:00:00.000 GMT+0200,3985.533,4012.843,3938.333,3959.099,240.49319999999997
22.07.2022 23:00:00.000 GMT+0200,3959.099,3959.099,3959.099,3959.099,0
